metrics;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm+random_mean;grace,enc:gcn_ncn,pred:mlp,sbm+random;grace,enc:gcn_ncn,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast+random;grace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast2;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_ncn,pred:mlp,sbm+random_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm+random;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast+random;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lbgrl,enc:gcn_ncn,pred:mlp,sbm+random_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm+random;infomap_prob_pred_mean;infomap_prob_pred;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2
Hits@10;23.83$\pm$3.98;"[0.20853081 0.21232227 0.26161137 0.29952607 0.29478673 0.22938389
 0.20758294 0.24739336 0.25687204 0.16492891]";35.83$\pm$5.32;"[0.33364929 0.37345972 0.42085308 0.37535545 0.34218009 0.39526066
 0.33649289 0.4492891  0.28341232 0.27298578]";42.89$\pm$6.72;"[0.47867299 0.43981043 0.47203791 0.33933649 0.49194313 0.45687204
 0.39905213 0.507109   0.41990521 0.28436019]";38.46$\pm$4.78;"[0.3042654  0.39526066 0.40379147 0.36398104 0.31279621 0.42843602
 0.35545024 0.41516588 0.46350711 0.40379147]";23.83$\pm$3.98;"[0.20853081 0.21232227 0.26161137 0.29952607 0.29478673 0.22938389
 0.20758294 0.24739336 0.25687204 0.16492891]";22.53$\pm$8.7;"[0.35829384 0.21895735 0.32037915 0.10236967 0.27109005 0.11753555
 0.26066351 0.26255924 0.09478673 0.2464455 ]";48.74$\pm$1.87;"[0.47298578 0.50521327 0.52417062 0.46919431 0.4985782  0.46066351
 0.47203791 0.47962085 0.49478673 0.49668246]";31.11$\pm$7.78;"[0.25781991 0.23127962 0.23412322 0.38483412 0.28151659 0.41137441
 0.29099526 0.47014218 0.29194313 0.25687204]";43.76$\pm$3.96;"[0.39620853 0.46635071 0.50236967 0.43791469 0.43601896 0.41327014
 0.38672986 0.49668246 0.39146919 0.4492891 ]";23.83$\pm$3.98;"[0.20853081 0.21232227 0.26161137 0.29952607 0.29478673 0.22938389
 0.20758294 0.24739336 0.25687204 0.16492891]";31.65$\pm$4.13;"[0.33175355 0.3535545  0.26161137 0.34028436 0.33459716 0.40189573
 0.2957346  0.29004739 0.28625592 0.26919431]";36.78$\pm$9.25;"[0.42274882 0.38293839 0.46635071 0.26635071 0.17725118 0.41706161
 0.32796209 0.50900474 0.38293839 0.32511848]"
Hits@20;37.82$\pm$4.84;"[0.34123223 0.34028436 0.39052133 0.4521327  0.43601896 0.29763033
 0.34312796 0.4028436  0.42843602 0.34976303]";49.21$\pm$2.84;"[0.46824645 0.46824645 0.52037915 0.50047393 0.43981043 0.50616114
 0.48151659 0.54407583 0.50805687 0.48436019]";53.42$\pm$4.43;"[0.55734597 0.54312796 0.56966825 0.49763033 0.53744076 0.53364929
 0.52322275 0.6        0.5535545  0.42654028]";52.46$\pm$4.12;"[0.48151659 0.51469194 0.52606635 0.51374408 0.45308057 0.56303318
 0.5042654  0.5943128  0.57914692 0.51658768]";37.82$\pm$4.84;"[0.34123223 0.34028436 0.39052133 0.4521327  0.43601896 0.29763033
 0.34312796 0.4028436  0.42843602 0.34976303]";31.33$\pm$8.88;"[0.43412322 0.28151659 0.43127962 0.17819905 0.3507109  0.23222749
 0.35734597 0.33270142 0.17630332 0.35829384]";55.88$\pm$1.8;"[0.56966825 0.57819905 0.59336493 0.52890995 0.55924171 0.54407583
 0.53933649 0.55734597 0.56492891 0.55260664]";45.33$\pm$7.47;"[0.39905213 0.36113744 0.41042654 0.53175355 0.35450237 0.48246445
 0.48815166 0.60853081 0.46350711 0.43317536]";52.5$\pm$2.07;"[0.51469194 0.52796209 0.5563981  0.53459716 0.54028436 0.5042654
 0.51184834 0.55545024 0.51469194 0.49004739]";37.82$\pm$4.84;"[0.34123223 0.34028436 0.39052133 0.4521327  0.43601896 0.29763033
 0.34312796 0.4028436  0.42843602 0.34976303]";42.62$\pm$4.83;"[0.43412322 0.40853081 0.41800948 0.4957346  0.42748815 0.49194313
 0.41611374 0.38957346 0.45971564 0.32037915]";49.28$\pm$8.62;"[0.50805687 0.52322275 0.58578199 0.36587678 0.32322275 0.47582938
 0.52511848 0.61706161 0.53838863 0.46540284]"
Hits@50;53.17$\pm$1.36;"[0.51374408 0.53838863 0.53649289 0.54312796 0.54976303 0.52322275
 0.51279621 0.54218009 0.54312796 0.51374408]";69.49$\pm$3.82;"[0.63127962 0.692891   0.69194313 0.69004739 0.6521327  0.70616114
 0.66635071 0.77440758 0.72132701 0.72227488]";66.59$\pm$4.87;"[0.71090047 0.6549763  0.72985782 0.65308057 0.62559242 0.67488152
 0.65118483 0.67962085 0.72227488 0.5563981 ]";69.9$\pm$1.71;"[0.66255924 0.71374408 0.71753555 0.70047393 0.692891   0.69099526
 0.68341232 0.72132701 0.71184834 0.69478673]";53.17$\pm$1.36;"[0.51374408 0.53838863 0.53649289 0.54312796 0.54976303 0.52322275
 0.51279621 0.54218009 0.54312796 0.51374408]";44.52$\pm$11.04;"[0.54218009 0.41137441 0.57914692 0.27203791 0.507109   0.31753555
 0.50805687 0.52417062 0.27677725 0.51374408]";64.3$\pm$1.55;"[0.64075829 0.67109005 0.66635071 0.64265403 0.62559242 0.64834123
 0.64075829 0.63507109 0.64265403 0.61706161]";65.74$\pm$5.4;"[0.59905213 0.59905213 0.68530806 0.69478673 0.57819905 0.69099526
 0.68909953 0.7450237  0.69004739 0.6028436 ]";63.55$\pm$3.24;"[0.60189573 0.63601896 0.68909953 0.65023697 0.63317536 0.62843602
 0.59146919 0.68909953 0.63696682 0.59810427]";53.17$\pm$1.36;"[0.51374408 0.53838863 0.53649289 0.54312796 0.54976303 0.52322275
 0.51279621 0.54218009 0.54312796 0.51374408]";61.94$\pm$4.09;"[0.60189573 0.55545024 0.66066351 0.68530806 0.63222749 0.66066351
 0.60094787 0.56208531 0.63696682 0.59810427]";65.49$\pm$6.82;"[0.65971564 0.7014218  0.72227488 0.49952607 0.59146919 0.61706161
 0.69383886 0.74218009 0.68341232 0.63791469]"
Hits@100;59.06$\pm$1.43;"[0.58957346 0.60379147 0.58199052 0.6056872  0.60947867 0.57819905
 0.56872038 0.58672986 0.60758294 0.57440758]";82.4$\pm$2.53;"[0.78957346 0.83033175 0.86350711 0.82938389 0.82369668 0.79052133
 0.79336493 0.86255924 0.83033175 0.82654028]";77.28$\pm$2.99;"[0.80758294 0.78009479 0.79620853 0.78483412 0.7450237  0.76777251
 0.7450237  0.76872038 0.81800948 0.71469194]";82.0$\pm$1.22;"[0.7971564  0.83317536 0.83507109 0.81895735 0.80758294 0.81421801
 0.80947867 0.83412322 0.82369668 0.82654028]";59.06$\pm$1.43;"[0.58957346 0.60379147 0.58199052 0.6056872  0.60947867 0.57819905
 0.56872038 0.58672986 0.60758294 0.57440758]";55.93$\pm$11.29;"[0.63507109 0.52322275 0.67772512 0.37440758 0.62369668 0.41421801
 0.65023697 0.67677725 0.40947867 0.60853081]";72.11$\pm$1.25;"[0.73270142 0.71658768 0.74218009 0.71279621 0.71469194 0.72227488
 0.72227488 0.73838863 0.70805687 0.7014218 ]";80.79$\pm$3.67;"[0.77156398 0.76208531 0.83981043 0.85308057 0.7535545  0.78767773
 0.81611374 0.86445498 0.82654028 0.80379147]";72.8$\pm$2.9;"[0.692891   0.72227488 0.78862559 0.72606635 0.71753555 0.73080569
 0.68909953 0.76208531 0.74312796 0.707109  ]";59.06$\pm$1.43;"[0.58957346 0.60379147 0.58199052 0.6056872  0.60947867 0.57819905
 0.56872038 0.58672986 0.60758294 0.57440758]";75.76$\pm$3.38;"[0.76966825 0.71090047 0.79146919 0.80189573 0.77345972 0.77819905
 0.74976303 0.69099526 0.77535545 0.73459716]";76.52$\pm$4.55;"[0.78957346 0.78293839 0.79810427 0.64075829 0.7478673  0.76682464
 0.78388626 0.81421801 0.77251185 0.75545024]"
ROCAUC;77.76$\pm$0.64;"[0.7688274  0.77024775 0.77777768 0.78420251 0.78638845 0.76791896
 0.77621437 0.77818468 0.78225582 0.78432021]";93.23$\pm$0.66;"[0.92504384 0.92582287 0.93963478 0.93105096 0.92671773 0.9305065
 0.92912738 0.94768042 0.93523207 0.93235462]";91.74$\pm$1.07;"[0.93079939 0.91781766 0.91863076 0.92489387 0.89952337 0.91728218
 0.9047299  0.92048606 0.93419247 0.90556367]";93.42$\pm$0.54;"[0.92284234 0.93111655 0.93998518 0.93564206 0.93093506 0.9321327
 0.9312895  0.94052964 0.93602166 0.9411334 ]";77.76$\pm$0.64;"[0.7688274  0.77024775 0.77777768 0.78420251 0.78638845 0.76791896
 0.77621437 0.77818468 0.78225582 0.78432021]";82.26$\pm$5.75;"[0.86313615 0.824384   0.88738258 0.72428382 0.86254307 0.75538645
 0.85792592 0.86889153 0.73592903 0.84577256]";87.97$\pm$0.63;"[0.87903001 0.87511422 0.88601963 0.88167741 0.87160576 0.87671526
 0.88454797 0.88792794 0.8859043  0.86855102]";93.16$\pm$0.87;"[0.92807989 0.91627771 0.93935985 0.93763123 0.91770895 0.9335828
 0.93112733 0.94370028 0.93925645 0.9293448 ]";89.51$\pm$1.26;"[0.88840167 0.89435637 0.92038858 0.88503762 0.88746973 0.89227645
 0.87430471 0.91070641 0.90266824 0.89498439]";77.76$\pm$0.64;"[0.7688274  0.77024775 0.77777768 0.78420251 0.78638845 0.76791896
 0.77621437 0.77818468 0.78225582 0.78432021]";91.27$\pm$0.89;"[0.91749687 0.89935985 0.91621572 0.92114732 0.91242245 0.91996496
 0.91143146 0.89335639 0.92098168 0.91439186]";91.02$\pm$1.47;"[0.91932516 0.91826599 0.92926215 0.8784641  0.90231891 0.90488983
 0.91302531 0.92927428 0.89633039 0.91118394]"
AP;82.49$\pm$0.73;"[0.81652174 0.82075062 0.82533184 0.83599775 0.83693068 0.81535868
 0.81799787 0.82461773 0.83159169 0.82424389]";93.27$\pm$0.67;"[0.92366098 0.92996786 0.93594097 0.93470663 0.92953496 0.93309192
 0.92957021 0.95037582 0.93030417 0.92997878]";92.48$\pm$0.97;"[0.93816416 0.92765799 0.92895624 0.92552198 0.91313592 0.92675467
 0.91670022 0.93133174 0.93453827 0.90474387]";93.5$\pm$0.56;"[0.92228611 0.93570805 0.93874974 0.93794311 0.93061545 0.93506072
 0.93019165 0.94320655 0.93769689 0.93811724]";82.49$\pm$0.73;"[0.81652174 0.82075062 0.82533184 0.83599775 0.83693068 0.81535868
 0.81799787 0.82461773 0.83159169 0.82424389]";83.63$\pm$5.47;"[0.87971673 0.83588834 0.89565733 0.74240912 0.87375747 0.77125365
 0.86981562 0.87944305 0.75535932 0.85982364]";90.5$\pm$0.45;"[0.90615794 0.90426089 0.91055771 0.9034408  0.89949726 0.90301907
 0.90724664 0.91090622 0.90898303 0.89628659]";92.79$\pm$1.1;"[0.92027984 0.91181385 0.93146372 0.9403318  0.91371199 0.93326482
 0.93020788 0.94728971 0.93233563 0.91805054]";91.06$\pm$1.02;"[0.9038381  0.91201343 0.93110183 0.9065517  0.90583903 0.90849819
 0.89325082 0.92465711 0.91479747 0.90592719]";82.49$\pm$0.73;"[0.81652174 0.82075062 0.82533184 0.83599775 0.83693068 0.81535868
 0.81799787 0.82461773 0.83159169 0.82424389]";91.49$\pm$0.92;"[0.92049581 0.90286898 0.91757835 0.9275174  0.91864959 0.92595818
 0.91377763 0.89807636 0.91772653 0.90665843]";91.65$\pm$1.63;"[0.92876525 0.92575274 0.93711827 0.88283764 0.89424296 0.91791354
 0.92013057 0.93351607 0.91439422 0.90995723]"
pretrain_time;nan$\pm$nan;[];372.44$\pm$11.94;"[368.30299258 389.03427219 368.45103359 362.84138393 380.51891541
 391.58013582 380.90175772 369.9205668  355.66102171 357.14417672]";4.52$\pm$0.01;"[4.51063156 4.51259303 4.50364947 4.51196671 4.5313015  4.53846002
 4.52512264 4.53143835 4.5158298  4.50483179]";26.32$\pm$0.1;"[26.41100621 26.34627724 26.18764925 26.27308822 26.51135707 26.37392831
 26.293648   26.39436412 26.22977138 26.17821932]";nan$\pm$nan;[];126.67$\pm$4.19;"[124.9954443  131.76735663 126.96640062 124.07680798 129.27363348
 133.07930374 129.79935002 126.22034883 120.67265558 119.87623191]";24.0$\pm$0.16;"[24.04699159 24.18532038 23.87252021 23.74629736 23.77692127 24.02725029
 24.02157474 24.03944373 24.02803349 24.27824974]";11.81$\pm$0.02;"[11.79792619 11.81830096 11.77740955 11.8112123  11.82134557 11.84684587
 11.83124328 11.79272699 11.78719616 11.76768541]";384.8$\pm$11.87;"[376.48753238 398.18571854 381.78166676 381.32081342 388.44645286
 404.10880351 393.87510896 390.04280567 367.37695742 366.3628273 ]";nan$\pm$nan;[];57.05$\pm$0.11;"[57.06174755 57.12103415 56.96684599 56.97701788 57.02050447 57.15731478
 57.25111675 57.11532164 56.86830282 56.93969417]";34.59$\pm$0.43;"[34.55120158 34.50925279 34.37433839 34.49546647 34.40070844 34.48245144
 34.54241705 35.86380768 34.32773447 34.34041119]"
